task,episode_id,U_success,U_terminal_reason,U_steps,U_collision,U_attempt_id,O_success,O_terminal_reason,O_steps,O_collision,O_attempt_id,OC_success,OC_terminal_reason,OC_steps,OC_collision,OC_attempt_id,R_success,R_terminal_reason,R_steps,R_collision,R_attempt_id,OC_minus_U,O_minus_U,OC_minus_O,R_minus_U,OC_minus_R
BinFill,0,1,success,275,0,0,0,fail,409,0,0,1,success,285,0,0,1,success,258,0,0,0,-1,1,0,0
BinFill,1,1,success,263,0,0,1,success,701,0,0,1,success,281,0,0,1,success,251,0,0,0,0,0,0,0
BinFill,2,0,fail,847,0,0,0,timeout,1300,0,0,0,fail,905,0,0,0,fail,1050,0,0,0,0,0,0,0
BinFill,3,0,fail,556,0,0,0,fail,808,0,0,0,fail,770,0,0,0,fail,791,0,0,0,0,0,0,0
BinFill,4,1,success,286,0,0,1,success,310,0,0,1,success,308,0,0,1,success,274,0,0,0,0,0,0,0
BinFill,5,1,success,502,0,0,0,timeout,1300,0,0,1,success,643,0,0,0,fail,526,0,0,0,-1,1,-1,1
BinFill,6,1,success,394,0,0,1,success,1002,0,0,1,success,411,0,0,1,success,361,0,0,0,0,0,0,0
BinFill,7,0,fail,866,0,0,0,timeout,1300,0,0,0,fail,935,0,0,0,fail,635,0,0,0,0,0,0,0
BinFill,8,1,success,752,0,0,0,timeout,1300,0,0,1,success,712,0,0,1,success,685,0,0,0,-1,1,0,0
BinFill,9,1,success,435,0,0,0,timeout,1300,0,0,1,success,553,0,0,1,success,412,0,0,0,-1,1,0,0
BinFill,10,0,fail,702,0,0,0,timeout,1300,0,0,0,fail,710,0,0,0,fail,812,0,0,0,0,0,0,0
BinFill,11,0,fail,774,0,0,0,timeout,1300,0,0,0,fail,786,0,0,0,fail,611,0,0,0,0,0,0,0
BinFill,12,0,timeout,1300,0,0,0,fail,516,0,0,0,fail,458,0,0,1,success,457,0,0,0,0,0,1,-1
BinFill,13,0,fail,512,0,0,0,timeout,1300,0,0,0,fail,518,0,0,1,success,637,0,0,0,0,0,1,-1
BinFill,14,0,fail,703,0,0,0,fail,1232,0,0,1,success,695,0,0,0,fail,584,0,0,1,0,1,0,1
BinFill,15,0,fail,633,0,0,0,timeout,1300,0,0,0,fail,671,0,0,0,fail,591,0,0,0,0,0,0,0
BinFill,16,1,success,243,0,0,1,success,252,0,0,1,success,264,0,0,0,fail,210,0,0,0,0,0,-1,1
BinFill,17,1,success,242,0,0,1,success,250,0,0,1,success,251,0,0,1,success,225,0,0,0,0,0,0,0
BinFill,18,1,success,468,0,0,0,timeout,1300,0,0,0,fail,417,0,0,0,fail,518,0,0,-1,-1,0,-1,0
BinFill,19,0,fail,644,0,0,0,timeout,1300,0,0,0,fail,703,0,0,0,fail,938,0,0,0,0,0,0,0
BinFill,20,0,fail,454,0,0,0,timeout,1300,0,0,1,success,765,0,0,0,fail,422,0,0,1,0,1,0,1
BinFill,21,1,success,413,0,0,0,timeout,1300,0,0,1,success,428,0,0,1,success,492,0,0,0,-1,1,0,0
BinFill,22,0,fail,604,0,0,0,fail,624,0,0,0,fail,630,0,0,0,fail,561,0,0,0,0,0,0,0
BinFill,23,0,fail,444,0,0,0,timeout,1300,0,0,0,fail,476,0,0,0,fail,479,0,0,0,0,0,0,0
BinFill,24,1,success,805,0,0,1,success,973,0,0,1,success,700,0,0,0,fail,769,0,0,0,0,0,-1,1
BinFill,25,1,success,261,0,0,1,success,285,0,0,1,success,277,0,0,1,success,244,0,0,0,0,0,0,0
BinFill,26,0,fail,502,0,0,0,timeout,1300,0,0,0,fail,541,0,0,0,fail,664,0,0,0,0,0,0,0
BinFill,27,0,fail,493,0,0,0,fail,249,0,0,0,fail,436,0,0,0,fail,415,0,0,0,0,0,0,0
BinFill,28,1,success,244,0,0,1,success,319,0,0,1,success,252,0,0,1,success,288,0,0,0,0,0,0,0
BinFill,29,0,fail,289,0,0,0,timeout,1300,0,0,0,fail,286,0,0,1,success,566,0,0,0,0,0,1,-1
BinFill,30,0,fail,689,0,0,0,timeout,1300,0,0,0,fail,798,0,0,0,fail,756,0,0,0,0,0,0,0
