task,episode_count,U_success_count,U_success_rate,O_success_count,O_success_rate,OC_success_count,OC_success_rate,R_success_count,R_success_rate,OC_minus_U_pp,O_minus_U_pp,OC_minus_O_pp,R_minus_U_pp,OC_minus_R_pp
BinFill,50,21,0.42,11,0.22,24,0.48,22,0.44,6.0,-20.0,26.0,2.0000000000000018,3.9999999999999982
StopCube,50,25,0.5,2,0.04,8,0.16,22,0.44,-34.0,-46.0,12.0,-6.0,-28.000000000000004
PickXtimes,50,48,0.96,16,0.32,39,0.78,37,0.74,-17.999999999999993,-63.99999999999999,46.0,-21.999999999999996,4.0000000000000036
SwingXtimes,50,45,0.9,10,0.2,46,0.92,40,0.8,2.0000000000000018,-70.0,72.0,-9.999999999999998,12.0
ButtonUnmask,50,11,0.22,9,0.18,13,0.26,10,0.2,4.000000000000001,-4.000000000000001,8.000000000000002,-1.9999999999999991,6.0
VideoUnmask,50,19,0.38,16,0.32,18,0.36,16,0.32,-2.0000000000000018,-6.0,3.9999999999999982,-6.0,3.9999999999999982
VideoUnmaskSwap,50,15,0.3,12,0.24,12,0.24,12,0.24,-6.0,-6.0,0.0,-6.0,0.0
ButtonUnmaskSwap,50,6,0.12,0,0.0,11,0.22,11,0.22,10.0,-12.0,22.0,10.0,0.0
PickHighlight,50,14,0.28,9,0.18,14,0.28,12,0.24,0.0,-10.000000000000004,10.000000000000004,-4.0000000000000036,4.0000000000000036
VideoRepick,50,17,0.34,0,0.0,6,0.12,8,0.16,-22.000000000000004,-34.0,12.0,-18.000000000000004,-4.000000000000001
VideoPlaceButton,50,25,0.5,17,0.34,23,0.46,26,0.52,-3.9999999999999982,-15.999999999999998,12.0,2.0000000000000018,-6.0
VideoPlaceOrder,50,22,0.44,10,0.2,18,0.36,15,0.3,-8.000000000000002,-24.0,15.999999999999998,-14.000000000000002,6.0
MoveCube,50,38,0.76,16,0.32,35,0.7,43,0.86,-6.000000000000005,-44.0,37.99999999999999,9.999999999999998,-16.000000000000004
InsertPeg,50,3,0.06,0,0.0,2,0.04,4,0.08,-1.9999999999999998,-6.0,4.0,2.0000000000000004,-4.0
PatternLock,50,27,0.54,4,0.08,25,0.5,27,0.54,-4.0000000000000036,-46.0,42.0,0.0,-4.0000000000000036
RouteStick,50,33,0.66,3,0.06,25,0.5,32,0.64,-16.000000000000004,-60.00000000000001,44.0,-2.0000000000000018,-14.000000000000002
