task,episode_id,boundary_count
BinFill,0,3
BinFill,1,3
BinFill,4,3
BinFill,5,5
BinFill,6,5
BinFill,8,7
BinFill,9,5
BinFill,14,7
BinFill,16,3
BinFill,17,3
BinFill,20,7
BinFill,21,5
BinFill,24,7
BinFill,25,3
BinFill,28,3
BinFill,32,7
BinFill,33,7
BinFill,34,7
BinFill,36,5
BinFill,41,3
BinFill,42,5
BinFill,44,3
BinFill,48,3
BinFill,49,7
StopCube,0,5
StopCube,1,4
StopCube,9,8
StopCube,11,4
StopCube,22,4
StopCube,25,4
StopCube,29,4
StopCube,40,3
PickXtimes,1,3
PickXtimes,2,3
PickXtimes,4,5
PickXtimes,5,5
PickXtimes,6,3
PickXtimes,7,11
PickXtimes,8,5
PickXtimes,9,5
PickXtimes,10,3
PickXtimes,13,3
PickXtimes,14,3
PickXtimes,16,3
PickXtimes,18,5
PickXtimes,19,11
PickXtimes,20,5
PickXtimes,21,3
PickXtimes,23,11
PickXtimes,25,5
PickXtimes,26,7
PickXtimes,27,9
PickXtimes,28,5
PickXtimes,29,3
PickXtimes,30,3
PickXtimes,33,3
PickXtimes,34,3
PickXtimes,35,9
PickXtimes,36,3
PickXtimes,37,7
PickXtimes,38,7
PickXtimes,39,9
PickXtimes,40,7
PickXtimes,41,3
PickXtimes,42,5
PickXtimes,43,11
PickXtimes,44,5
PickXtimes,45,3
PickXtimes,46,7
PickXtimes,48,7
PickXtimes,49,3
SwingXtimes,0,7
SwingXtimes,1,9
SwingXtimes,2,7
SwingXtimes,3,9
SwingXtimes,4,9
SwingXtimes,5,5
SwingXtimes,6,5
SwingXtimes,7,9
SwingXtimes,8,9
SwingXtimes,10,5
SwingXtimes,11,9
SwingXtimes,12,7
SwingXtimes,13,7
SwingXtimes,14,5
SwingXtimes,16,7
SwingXtimes,17,9
SwingXtimes,18,7
SwingXtimes,19,9
SwingXtimes,20,5
SwingXtimes,21,9
SwingXtimes,22,5
SwingXtimes,23,9
SwingXtimes,24,9
SwingXtimes,25,9
SwingXtimes,26,7
SwingXtimes,28,9
SwingXtimes,29,9
SwingXtimes,30,7
SwingXtimes,32,7
SwingXtimes,33,5
SwingXtimes,34,5
SwingXtimes,35,9
SwingXtimes,36,7
SwingXtimes,37,7
SwingXtimes,38,5
SwingXtimes,39,9
SwingXtimes,40,5
SwingXtimes,41,5
SwingXtimes,42,7
SwingXtimes,43,9
SwingXtimes,44,5
SwingXtimes,45,9
SwingXtimes,46,5
SwingXtimes,47,9
SwingXtimes,48,5
SwingXtimes,49,5
ButtonUnmask,2,2
ButtonUnmask,5,2
ButtonUnmask,10,2
ButtonUnmask,11,4
ButtonUnmask,14,2
ButtonUnmask,17,2
ButtonUnmask,20,2
ButtonUnmask,24,2
ButtonUnmask,25,2
ButtonUnmask,28,2
ButtonUnmask,37,2
ButtonUnmask,40,2
ButtonUnmask,45,2
VideoUnmask,0,2
VideoUnmask,4,2
VideoUnmask,5,2
VideoUnmask,9,2
VideoUnmask,15,4
VideoUnmask,16,2
VideoUnmask,19,4
VideoUnmask,20,2
VideoUnmask,21,2
VideoUnmask,22,2
VideoUnmask,23,4
VideoUnmask,30,2
VideoUnmask,32,2
VideoUnmask,40,2
VideoUnmask,41,2
VideoUnmask,45,2
VideoUnmask,46,2
VideoUnmask,47,4
VideoUnmaskSwap,10,2
VideoUnmaskSwap,13,2
VideoUnmaskSwap,16,2
VideoUnmaskSwap,17,2
VideoUnmaskSwap,19,4
VideoUnmaskSwap,24,2
VideoUnmaskSwap,25,2
VideoUnmaskSwap,28,2
VideoUnmaskSwap,29,4
VideoUnmaskSwap,37,2
VideoUnmaskSwap,42,2
VideoUnmaskSwap,45,2
ButtonUnmaskSwap,10,3
ButtonUnmaskSwap,18,3
ButtonUnmaskSwap,22,3
ButtonUnmaskSwap,24,3
ButtonUnmaskSwap,25,3
ButtonUnmaskSwap,26,3
ButtonUnmaskSwap,32,5
ButtonUnmaskSwap,33,3
ButtonUnmaskSwap,34,3
ButtonUnmaskSwap,36,3
ButtonUnmaskSwap,38,3
PickHighlight,2,4
PickHighlight,9,2
PickHighlight,14,2
PickHighlight,17,2
PickHighlight,19,2
PickHighlight,20,2
PickHighlight,25,2
PickHighlight,28,2
PickHighlight,29,2
PickHighlight,32,2
PickHighlight,34,4
PickHighlight,38,4
PickHighlight,44,2
PickHighlight,49,2
VideoRepick,0,11
VideoRepick,13,7
VideoRepick,16,12
VideoRepick,20,8
VideoRepick,21,8
VideoRepick,22,13
VideoPlaceButton,0,11
VideoPlaceButton,2,11
VideoPlaceButton,5,11
VideoPlaceButton,8,11
VideoPlaceButton,9,11
VideoPlaceButton,11,11
VideoPlaceButton,13,11
VideoPlaceButton,14,11
VideoPlaceButton,16,11
VideoPlaceButton,17,11
VideoPlaceButton,18,11
VideoPlaceButton,19,11
VideoPlaceButton,20,11
VideoPlaceButton,25,11
VideoPlaceButton,32,11
VideoPlaceButton,35,11
VideoPlaceButton,36,11
VideoPlaceButton,41,11
VideoPlaceButton,44,11
VideoPlaceButton,45,11
VideoPlaceButton,46,11
VideoPlaceButton,48,11
VideoPlaceButton,49,11
VideoPlaceOrder,0,15
VideoPlaceOrder,1,13
VideoPlaceOrder,7,13
VideoPlaceOrder,8,13
VideoPlaceOrder,9,13
VideoPlaceOrder,10,13
VideoPlaceOrder,13,13
VideoPlaceOrder,16,11
VideoPlaceOrder,20,13
VideoPlaceOrder,21,11
VideoPlaceOrder,24,11
VideoPlaceOrder,28,13
VideoPlaceOrder,30,11
VideoPlaceOrder,36,11
VideoPlaceOrder,42,15
VideoPlaceOrder,43,15
VideoPlaceOrder,44,13
VideoPlaceOrder,47,11
MoveCube,0,5
MoveCube,1,5
MoveCube,2,5
MoveCube,3,5
MoveCube,4,5
MoveCube,5,5
MoveCube,7,3
MoveCube,8,5
MoveCube,9,5
MoveCube,10,5
MoveCube,12,3
MoveCube,15,5
MoveCube,16,3
MoveCube,18,5
MoveCube,19,5
MoveCube,23,3
MoveCube,26,3
MoveCube,27,5
MoveCube,28,5
MoveCube,29,3
MoveCube,30,5
MoveCube,31,5
MoveCube,33,5
MoveCube,34,5
MoveCube,35,5
MoveCube,36,5
MoveCube,37,3
MoveCube,38,3
MoveCube,40,5
MoveCube,42,5
MoveCube,43,5
MoveCube,45,5
MoveCube,46,3
MoveCube,48,5
MoveCube,49,3
InsertPeg,4,4
InsertPeg,27,4
PatternLock,0,6
PatternLock,2,8
PatternLock,4,6
PatternLock,5,2
PatternLock,8,6
PatternLock,10,6
PatternLock,11,6
PatternLock,12,6
PatternLock,16,6
PatternLock,20,2
PatternLock,21,6
PatternLock,24,4
PatternLock,25,2
PatternLock,28,2
PatternLock,29,2
PatternLock,32,2
PatternLock,33,4
PatternLock,34,6
PatternLock,36,6
PatternLock,40,6
PatternLock,41,6
PatternLock,44,2
PatternLock,46,8
PatternLock,48,2
PatternLock,49,4
RouteStick,1,4
RouteStick,3,8
RouteStick,4,6
RouteStick,6,8
RouteStick,8,6
RouteStick,10,8
RouteStick,12,6
RouteStick,15,8
RouteStick,16,4
RouteStick,17,6
RouteStick,21,4
RouteStick,22,10
RouteStick,24,4
RouteStick,28,6
RouteStick,30,10
RouteStick,31,8
RouteStick,32,4
RouteStick,33,6
RouteStick,37,6
RouteStick,38,10
RouteStick,41,4
RouteStick,45,6
RouteStick,46,8
RouteStick,47,10
RouteStick,48,4
